id,name,property
1019,Характеристики,Apple iPhone 15 128GB Black (MTP03)
1020,Форм-фактор,моноблок
1021,Кількість SIM-карт,1 SIM + e-sim
1022,Формат SIM-карти,"e-sim, Nano"
1023,Покоління зв'язку (2G /3G/4G/5G),"2G, 3G, 4G, 5G"
1024,Тип дисплея,OLED
1025,Діагональ екрану,"6.1'"""
1026,Роздільна здатність екрану,1179 х 2556
1027,Частота оновлення екрану,60 Гц
1028,Процесор,Apple A16 Bionic
1029,Кількість ядер,6 core
1030,Вбудована пам'ять,128 Gb
1031,Кількість модулів основної камери,2
1032,Основна камера,48 + 12 Mpx
1033,Діафрагма основної камери,f/1.6 + f/2.4
1034,Метод стабілізації,оптична
1035,Запис відео основної камери,4K / 3840x2160 / стереозвук
1036,Кількість модулів фронтальної камери,1
1037,Фронтальна камера,12 Mpx
1038,Діафрагма фронтальної камери,f/1.9
1039,Функції камери,"панорама, розпізнавання обличчя, геотегінг, спалах, автофокус"
1040,Операційна система,iOS 17
1041,Мультимедіа,"FM-радіо, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр, ігри"
1042,Органайзер,"калькулятор, телефонна книга, диктофон, секундомір, нотатки, будильник, світовий час, годинник, календар"
1043,Бездротові підключення,"Bluetooth, WI-FI, NFC"
1044,Навігація,"BeiDou, Galileo, QZSS, iBeacon, GPS, A-GPS"
1045,Інтерфейси і підключення,USB Type-C
1046,Особливості,IP68 certified
1047,Вбудовані датчики,"датчик освітлення, компас, акселерометр, датчик наближення, гіроскоп, барометр"
1048,Безпека,FaceID
1049,Оснащення,"пило/вологозахист, гіроскоп, бездротове заряджання"
1050,Розміри (мм),147.6 x 71.6 x 7.80 мм
1051,Вага,171 г
1052,Колір,чорний
1053,Особливості корпусу,водонепроникні
1054,Виробник,Apple
1055,Модель,iPhone 15 128GB Black
1056,Артикул,MTP03
1057,"Гарантія, міс",12
1058,Штрихкод,1.95949E+11
1059,Примітка,"Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"
1060,Всі характеристики,Приховати
